#Npix	Zp_x	Zp_y	Zp_z
0	5.39E-05	4.49E-16	1
1	-0.0272211	-0.0311863	0.999143
2	-0.0271135	-0.0155972	0.999511
3	-0.0270776	-1.05E-14	0.999633
4	-0.0271135	0.0155972	0.999511
5	-0.0272211	0.0311863	0.999143
6	-0.0135674	0.023398	0.999634
7	-0.0134945	0.00780067	0.999879
8	-0.0134945	-0.00780067	0.999879
9	-0.0135674	-0.023398	0.999634
10	-9.40E-05	-0.0311946	0.999513
11	1.69E-05	-0.0156013	0.999878
12	5.39E-05	4.49E-16	1
13	1.69E-05	0.0156013	0.999878
14	-9.40E-05	0.0311946	0.999513
15	0.0134533	0.023398	0.999636
16	0.0135282	0.00780067	0.999878
17	0.0135282	-0.00780067	0.999878
18	0.0134533	-0.023398	0.999636
19	0.0268121	-0.0311869	0.999154
20	0.0269258	-0.0155974	0.999516
21	0.0269637	-1.82E-15	0.999636
22	0.0269258	0.0155974	0.999516
23	0.0268121	0.0311869	0.999154
24	-0.132088	0.0280137	0.990842
25	-0.132226	0.0434921	0.990265
26	-0.132424	0.0589462	0.989439
27	-0.13268	0.0743676	0.988365
28	-0.132994	0.089748	0.987045
29	-0.11897	0.0821738	0.989492
30	-0.118676	0.0667507	0.990687
31	-0.118442	0.051291	0.991635
32	-0.118269	0.035803	0.992336
33	-0.104348	0.0280838	0.994144
34	-0.104495	0.043601	0.993569
35	-0.104704	0.0590944	0.992746
36	-0.104975	0.0745554	0.991676
37	-0.105308	0.0899758	0.990361
38	-0.0913264	0.0823559	0.99241
39	-0.0910161	0.0668978	0.9936
40	-0.0907694	0.0514035	0.994544
41	-0.0905868	0.0358812	0.995242
42	-0.0767252	0.0281364	0.996655
43	-0.076879	0.0436829	0.996083
44	-0.077099	0.0592059	0.995264
45	-0.0773843	0.074697	0.994199
46	-0.0777342	0.0901481	0.99289
47	-0.132994	-0.089748	0.987045
48	-0.13268	-0.0743676	0.988365
49	-0.132424	-0.0589462	0.989439
50	-0.132226	-0.0434921	0.990265
51	-0.132088	-0.0280137	0.990842
52	-0.118269	-0.035803	0.992336
53	-0.118442	-0.051291	0.991635
54	-0.118676	-0.0667507	0.990687
55	-0.11897	-0.0821738	0.989492
56	-0.105308	-0.0899758	0.990361
57	-0.104975	-0.0745554	0.991676
58	-0.104704	-0.0590944	0.992746
59	-0.104495	-0.043601	0.993569
60	-0.104348	-0.0280838	0.994144
61	-0.0905868	-0.0358812	0.995242
