#Npix	fp angle	sky angle
0	0	0
1	-22.5	-22.8042
2	-22.5	-22.6521
3	-22.5	-22.5
4	-22.5	-22.3479
5	-22.5	-22.1958
6	22.5	22.7159
7	22.5	22.572
8	22.5	22.428
9	22.5	22.2841
10	-22.5	-22.7716
11	-22.5	-22.6358
12	-22.5	-22.5
13	-22.5	-22.3642
14	-22.5	-22.2284
15	22.5	22.6915
16	22.5	22.5638
17	22.5	22.4362
18	22.5	22.3085
19	-22.5	-22.7389
20	-22.5	-22.6195
21	-22.5	-22.5
22	-22.5	-22.3805
23	-22.5	-22.2611
24	-22.5	-22.1145
25	-22.5	-21.9013
26	-22.5	-21.6881
27	-22.5	-21.475
28	-22.5	-21.262
29	22.5	23.5894
30	22.5	23.3843
31	22.5	23.1791
32	22.5	22.9738
33	-22.5	-22.1432
34	-22.5	-21.9459
35	-22.5	-21.7486
36	-22.5	-21.5514
37	-22.5	-21.3543
38	22.5	23.5047
39	22.5	23.3155
40	22.5	23.1263
41	22.5	22.937
42	-22.5	-22.1722
43	-22.5	-21.9909
44	-22.5	-21.8097
45	-22.5	-21.6285
46	-22.5	-21.4474
47	-22.5	-23.738
48	-22.5	-23.525
49	-22.5	-23.3119
50	-22.5	-23.0987
51	-22.5	-22.8855
52	22.5	22.0262
53	22.5	21.8209
54	22.5	21.6157
55	22.5	21.4106
56	-22.5	-23.6457
57	-22.5	-23.4486
58	-22.5	-23.2514
59	-22.5	-23.0541
60	-22.5	-22.8568
61	22.5	22.063
62	22.5	21.8737
63	22.5	21.6845
64	22.5	21.4953
65	-22.5	-23.5526
66	-22.5	-23.3715
67	-22.5	-23.1903
68	-22.5	-23.0091
69	-22.5	-22.8278
70	-22.5	-23.9595
71	-22.5	-23.8083
72	-22.5	-23.6568
73	-22.5	-23.5052
74	-22.5	-23.3535
75	22.5	21.6204
76	22.5	21.4769
77	22.5	21.3335
78	22.5	21.1903
79	-22.5	-23.8027
80	-22.5	-23.6678
81	-22.5	-23.5327
82	-22.5	-23.3974
83	-22.5	-23.262
84	22.5	21.7202
85	22.5	21.5931
86	22.5	21.4661
87	22.5	21.3393
88	-22.5	-23.6452
89	-22.5	-23.5268
90	-22.5	-23.4081
91	-22.5	-23.2893
92	-22.5	-23.1702
93	-22.5	-23.021
94	-22.5	-22.9315
95	-22.5	-22.8419
96	-22.5	-22.7522
97	-22.5	-22.6624
98	22.5	22.3116
99	22.5	22.23
100	22.5	22.1486
101	22.5	22.0673
102	-22.5	-22.9256
103	-22.5	-22.8526
104	-22.5	-22.7794
105	-22.5	-22.7062
106	-22.5	-22.6328
107	22.5	22.3495
108	22.5	22.2843
109	22.5	22.2193
110	22.5	22.1545
111	-22.5	-22.8301
112	-22.5	-22.7736
113	-22.5	-22.7169
114	-22.5	-22.6601
115	-22.5	-22.6031
116	-22.5	-22.3376
117	-22.5	-22.2478
118	-22.5	-22.1581
119	-22.5	-22.0685
120	-22.5	-21.979
121	22.5	22.9327
122	22.5	22.8514
123	22.5	22.77
124	22.5	22.6884
125	-22.5	-22.3672
126	-22.5	-22.2938
127	-22.5	-22.2206
128	-22.5	-22.1474
129	-22.5	-22.0744
130	22.5	22.8455
131	22.5	22.7807
132	22.5	22.7157
133	22.5	22.6505
134	-22.5	-22.3969
135	-22.5	-22.3399
136	-22.5	-22.2831
137	-22.5	-22.2264
138	-22.5	-22.1699
139	-22.5	-21.6465
140	-22.5	-21.4948
141	-22.5	-21.3432
142	-22.5	-21.1917
143	-22.5	-21.0405
144	22.5	23.8097
145	22.5	23.6665
146	22.5	23.5231
147	22.5	23.3796
148	-22.5	-21.738
149	-22.5	-21.6026
150	-22.5	-21.4673
151	-22.5	-21.3322
152	-22.5	-21.1973
153	22.5	23.6607
154	22.5	23.5339
155	22.5	23.4069
156	22.5	23.2798
157	-22.5	-21.8298
158	-22.5	-21.7107
159	-22.5	-21.5919
160	-22.5	-21.4732
161	-22.5	-21.3548
