#Npix	x_fp	y_fp
0	0	0
1	-15.6	13.51
2	-7.8	13.51
3	0	13.51
4	7.8	13.51
5	15.6	13.51
6	11.7	6.755
7	3.9	6.755
8	-3.9	6.755
9	-11.7	6.755
10	-15.6	0
11	-7.8	0
12	0	0
13	7.8	0
14	15.6	0
15	11.7	-6.755
16	3.9	-6.755
17	-3.9	-6.755
18	-11.7	-6.755
19	-15.6	-13.51
20	-7.8	-13.51
21	0	-13.51
22	7.8	-13.51
23	15.6	-13.51
24	14.1	64.9519
25	21.9	64.9519
26	29.7	64.9519
27	37.5	64.9519
28	45.3	64.9519
29	41.4	58.1969
30	33.6	58.1969
31	25.8	58.1969
32	18	58.1969
33	14.1	51.4419
34	21.9	51.4419
35	29.7	51.4419
36	37.5	51.4419
37	45.3	51.4419
38	41.4	44.6869
39	33.6	44.6869
40	25.8	44.6869
41	18	44.6869
42	14.1	37.9319
43	21.9	37.9319
44	29.7	37.9319
45	37.5	37.9319
46	45.3	37.9319
47	-45.3	64.9519
48	-37.5	64.9519
49	-29.7	64.9519
50	-21.9	64.9519
51	-14.1	64.9519
52	-18	58.1969
53	-25.8	58.1969
54	-33.6	58.1969
55	-41.4	58.1969
56	-45.3	51.4419
57	-37.5	51.4419
58	-29.7	51.4419
59	-21.9	51.4419
60	-14.1	51.4419
61	-18	44.6869
62	-25.8	44.6869
63	-33.6	44.6869
64	-41.4	44.6869
65	-45.3	37.9319
66	-37.5	37.9319
67	-29.7	37.9319
68	-21.9	37.9319
69	-14.1	37.9319
70	-75	13.51
71	-67.2	13.51
72	-59.4	13.51
73	-51.6	13.51
74	-43.8	13.51
75	-47.7	6.755
76	-55.5	6.755
77	-63.3	6.755
78	-71.1	6.755
79	-75	0
80	-67.2	0
81	-59.4	0
82	-51.6	0
83	-43.8	0
84	-47.7	-6.755
85	-55.5	-6.755
86	-63.3	-6.755
87	-71.1	-6.755
88	-75	-13.51
89	-67.2	-13.51
90	-59.4	-13.51
91	-51.6	-13.51
92	-43.8	-13.51
93	-45.3	-37.9319
94	-37.5	-37.9319
95	-29.7	-37.9319
96	-21.9	-37.9319
97	-14.1	-37.9319
98	-18	-44.6869
99	-25.8	-44.6869
100	-33.6	-44.6869
101	-41.4	-44.6869
102	-45.3	-51.4419
103	-37.5	-51.4419
104	-29.7	-51.4419
105	-21.9	-51.4419
106	-14.1	-51.4419
107	-18	-58.1969
108	-25.8	-58.1969
109	-33.6	-58.1969
110	-41.4	-58.1969
111	-45.3	-64.9519
112	-37.5	-64.9519
113	-29.7	-64.9519
114	-21.9	-64.9519
115	-14.1	-64.9519
116	14.1	-37.9319
117	21.9	-37.9319
118	29.7	-37.9319
119	37.5	-37.9319
120	45.3	-37.9319
121	41.4	-44.6869
122	33.6	-44.6869
123	25.8	-44.6869
124	18	-44.6869
125	14.1	-51.4419
126	21.9	-51.4419
127	29.7	-51.4419
128	37.5	-51.4419
129	45.3	-51.4419
130	41.4	-58.1969
131	33.6	-58.1969
132	25.8	-58.1969
133	18	-58.1969
134	14.1	-64.9519
135	21.9	-64.9519
136	29.7	-64.9519
137	37.5	-64.9519
138	45.3	-64.9519
139	43.8	13.51
140	51.6	13.51
141	59.4	13.51
142	67.2	13.51
143	75	13.51
144	71.1	6.755
145	63.3	6.755
146	55.5	6.755
147	47.7	6.755
148	43.8	0
149	51.6	0
150	59.4	0
151	67.2	0
152	75	0
153	71.1	-6.755
154	63.3	-6.755
155	55.5	-6.755
156	47.7	-6.755
157	43.8	-13.51
158	51.6	-13.51
159	59.4	-13.51
160	67.2	-13.51
161	75	-13.51
